N1	N2	P1	P2	N	P	FC
1700042G15Rik	1	1	1	1	1	1	0
1700042O10Rik	1.93930144295516	1.8320713793213	2.83750783868811	2.17647676078048	1.88568641113823	2.5069922997343	0.41086778854053
1700048O20Rik	12.1770090604161	13.226661665344	20.3202174254439	22.3325441540953	12.7018353628801	21.3263807897696	0.747602177204386
1700049G17Rik	1.62360120805548	2.05549471826293	1.28145515295592	2.64962388268928	1.8395479631592	1.9655395178226	0.0955740772355527
1700052K11Rik	2.6609019798687	2.1895487216279	7.139535852183	8.04350107244959	2.4252253507483	7.59151846231629	1.6462696756148
1700052N19Rik	44.2431329195118	48.7062878892737	37.2537319466472	32.8364102604707	46.4747104043928	35.0450711035589	-0.40723432399387
1700054N08Rik	3.47270258389644	5.45152947017558	4.94275558997284	3.12277100459808	4.46211602703601	4.03276329728546	-0.145959298666523
1700061G19Rik	8.74940651007675	8.75819488651159	5.85808069922707	6.1509125848144	8.75380069829417	6.00449664202073	-0.543866228237792
1700063D05Rik	1.48830110738419	1.69801737595633	3.02057286053896	3.97443582403392	1.59315924167026	3.49750434228644	1.13443537221917
1700066M21Rik	10.9593081543745	12.1989143062126	10.7093037782745	14.572931354791	11.5791112302935	12.6411175665328	0.126599492217915
1700081L11Rik	56.3299419128137	57.7325907825152	61.875977385586	64.4426380039785	57.0312663476645	63.1593076947822	0.147242290230778
1700084C01Rik	1	1	1	1.13555309258112	1	1.06777654629056	0.0946097656697475
1700086O06Rik	1.21770090604161	1	1.28145515295592	1	1.10885045302081	1.14072757647796	0.0408894875736004
1700093K21Rik	1	1	2.92904034961354	3.59591812650688	1	3.26247923806021	1.70596872061191
1700094D03Rik	1.57850117449838	2.0108100504746	4.39356052442031	3.12277100459808	1.79465561248649	3.75816576450919	1.06632167932326
1700095A21Rik	1.17260087248451	1.16180136249644	1.09839013110508	1.8925884876352	1.16720111749047	1.49548930937014	0.357564427648168
1700096K18Rik	1.93930144295516	2.23423338941622	3.29517039331523	5.2046183409968	2.08676741618569	4.24989436715601	1.02615717122385
1700097N02Rik	6.58460489933611	3.93225076537255	5.21735312274911	6.71868913110496	5.25842783235433	5.96802112692703	0.182621116545941
1700101E01Rik	1	1	1.55605268573219	1	1	1.2780263428661	0.353917573632792
1700102P08Rik	1	1	1.28145515295592	1.51407079010816	1	1.39776297153204	0.48311973354032
1700106N22Rik	5.50220409396579	6.92612350719029	7.78026342866096	7.19183625301376	6.21416380057804	7.48604984083736	0.268644383193711
1700113A16Rik	2.88640214765419	4.42378211104412	8.97018607069146	9.17905416503071	3.65509212934915	9.07462011786108	1.31192947935964
1700113I22Rik	3.15700234899677	2.41297206056952	4.02743048071861	2.93351215583456	2.78498720478314	3.48047131827659	0.321611986773309
1700123I01Rik	1	1.16180136249644	1	1.79795906325344	1.08090068124822	1.39897953162672	0.372140887813758
1700123M08Rik	1	1	1	1	1	1	0
1700123O20Rik	35.6290265101064	34.2284555258565	66.4526029318571	58.7648725410729	34.9287410179815	62.608737736465	0.841949372398105
1700128F08Rik	1	1	2.01371524035931	1.51407079010816	1	1.76389301523373	0.818763060287493
